observation,playerType,propReturnB,propSendA,age,defMax,volSav,dropG
431,A,,0.333333343,28,0,2,0
432,A,,0.333333343,51,653.3200073,91,0
433,A,,0.333333343,50,0,8,0
434,A,,1,61,0,31,0
435,A,,0.333333343,37,0,5,0
436,A,,0.333333343,32,0,25,0
437,A,,0.333333343,24,0,716,0
438,A,,0.333333343,24,43.5,4,1
439,A,,0.666666687,27,32.58000183,1,1
440,A,,0.666666687,44,117.9599991,2,1
441,A,,1,38,98.25,15,1
442,A,,1,51,0,75,0
443,A,,1,31,0,0,0
444,A,,1,52,165.6699982,25,1
445,A,,0.333333343,34,0,374,0
446,A,,0.333333343,41,216,6,0
447,A,,0.333333343,47,0,26,0
448,A,,0.333333343,32,0,35,0
449,A,,0.333333343,25,0,10,0
450,A,,1,44,0,3,0
451,A,,1,37,1214.089966,10,1
452,A,,1,29,0,39,0
453,A,,1,34,0,93,0
454,A,,1,33,0,44,0
455,A,,0,42,425.2200012,2,0
456,A,,0,26,0,0,0
457,A,,0,32,0,709,0
458,A,,0,24,0,0,0
459,A,,0,26,255,3,0
460,A,,0,31,176.6200104,20,1
461,A,,0,37,0,15,0
462,A,,0.333333343,19,50,6,1
463,A,,0.333333343,56,0,0,0
464,A,,0.666666687,53,0,253,0
465,A,,0.666666687,64,89.25,5,0
466,A,,1,40,312.2999878,9,1
467,A,,1,31,0,31,0
468,A,,0,22,79.25,14,1
469,A,,0,27,0,36,0
470,A,,0.333333343,33,36.20000076,30,1
471,A,,0.333333343,49,0,107,0
472,A,,1,39,50.68000031,6,1
473,A,,0.333333343,31,0,2,0
474,A,,0.333333343,23,102.75,24,1
475,A,,0.333333343,30,0,12.31999969,0
476,A,,0.333333343,17,0,0,0
477,A,,0.666666687,53,0,24,0
478,A,,1,34,0,79,0
479,A,,1,31,0,89.25,0
480,A,,0.333333343,42,0,16,0
481,A,,0.333333343,59,0,35,0
482,A,,0.333333343,43,0,109,0
483,A,,0.333333343,45,0,23,0
484,A,,0.666666687,38,0,61,0
485,A,,0.666666687,18,0,329,0
486,A,,1,22,0,0,0
487,A,,1,45,0,166,0
488,A,,0.333333343,50,0,92,0
489,A,,0.333333343,52,0,0,0
490,A,,0.333333343,27,0,0.379999995,0
491,A,,0.333333343,70,0,8,0
492,A,,0.666666687,50,178.3500061,17,1
493,A,,0.666666687,42,0,34,0
494,A,,0.666666687,40,0,5,0
495,A,,0.666666687,22,98.66000366,11,1
496,A,,1,47,0,49,0
497,A,,1,41,72.5,15,1
498,A,,0,27,26,2,0
499,A,,0,41,0,186,0
500,A,,0,31,168,309.25,1
501,A,,0.333333343,40,0,607,0
502,A,,0.333333343,20,169.5,0,1
503,A,,0.333333343,30,47.13999939,9,1
504,A,,0.333333343,18,0,37,0
